1,Kej,Kejadian,50
2,Kel,Keluaran,40
3,Ima,Imamat,27
4,Bil,Bilangan,36
5,Ula,Ulangan,34
6,Yos,Yosua,24
7,Hak,Hakim-hakim,21
8,Rut,Rut,4
9,1 Sam,1 Samuel,31
10,2 Sam,2 Samuel,24
11,1 Raj,1 Raja-Raja,22
12,2 Raj,2 Raja-Raja,25
13,1 Taw,1 Tawarikh,29
14,2 Taw,2 Tawarikh,36
15,Ezr,Ezra,10
16,Neh,Nehemia,13
17,Est,Ester,10
18,Ayb,Ayub,42
19,Maz,Mazmur,150
20,Ams,Amsal,31
21,Pkh,Pengkhotbah,12
22,Kid,Kidung Agung,8
23,Yes,Yesaya,66
24,Yer,Yeremia,52
25,Rat,Ratapan,5
26,Yeh,Yehezkiel,48
27,Dan,Daniel,12
28,Hos,Hosea,14
29,Yoe,Yoel,3
30,Amo,Amos,9
31,Oba,Obaja,1
32,Yun,Yunus,4
33,Mik,Mikha,7
34,Nah,Nahum,3
35,Hab,Habakuk,3
36,Zef,Zefanya,3
37,Hag,Hagai,2
38,Zak,Zakharia,14
39,Mal,Maleakhi,4
40,Mat,Matius,28
41,Mar,Markus,16
42,Luk,Lukas,24
43,Yoh,Yohanes,21
44,Kis,Kisah Para Rasul,28
45,Rom,Roma,16
46,1 Kor,1 Korintus,16
47,2 Kor,2 Korintus,13
48,Gal,Galatia,6
49,Efe,Efesus,6
50,Flp,Filipi,4
51,Kol,Kolose,4
52,1 Tes,1 Tesalonika,5
53,2 Tes,2 Tesalonika,3
54,1 Tim,1 Timotius,6
55,2 Tim,2 Timotius,4
56,Tit,Titus,3
57,Flm,Filemon,1
58,Ibr,Ibrani,13
59,Yak,Yakobus,5
60,1 Pet,1 Petrus,5
61,2 Pet,2 Petrus,3
62,1 Yoh,1 Yohanes,5
63,2 Yoh,2 Yohanes,1
64,3 Yoh,3 Yohanes,1
65,Yud,Yudas,1
66,Wah,Wahyu,22
